course_title,course_url,platform,language,duration,difficulty_level,rating_out_of_5
3-pillars-of-successful-marketing-segmentation-targeting-and-positioning,https://www.futurelearn.com/career-advice,FutureLearn,English,4 weeks,Beginner,4.5
4-0-shades-of-digitalisation-for-the-chemical-and-process-industries,https://www.futurelearn.com/career-advice/become-a-cyber-security-specialist,FutureLearn,English,8 weeks,Advanced,4.5
5 benefits of giving up alcohol,https://www.futurelearn.com/career-advice/become-a-data-analyst,FutureLearn,English,4 weeks,Beginner,4.5
5g-and-wireless-communication-for-beginners,https://www.futurelearn.com/career-advice/become-a-data-scientist,FutureLearn,English,4 weeks,Beginner,4.5
aat-level-1-award-in-bookkeeping,https://www.futurelearn.com/career-advice/become-a-developer,FutureLearn,English,4 weeks,Beginner,4.5
aat-level-2-certificate-in-accounting,https://www.futurelearn.com/career-advice/become-a-finance-manager,FutureLearn,English,4 weeks,Beginner,4.5
aat-level-2-certificate-in-bookkeeping,https://www.futurelearn.com/career-advice/become-a-marketing-manager,FutureLearn,English,4 weeks,Beginner,4.5
aat-level-3-certificate-in-bookkeeping,https://www.futurelearn.com/career-advice/become-a-musician,FutureLearn,English,4 weeks,Beginner,4.5
aat-level-3-diploma-in-accounting,https://www.futurelearn.com/career-advice/become-a-nutritionist,FutureLearn,English,4 weeks,Beginner,4.5
aat-level-4-diploma-in-professional-accounting,https://www.futurelearn.com/career-advice/become-a-project-manager,FutureLearn,English,4 weeks,Beginner,4.5
aat-levels-2-3-4-in-accounting,https://www.futurelearn.com/career-advice/become-a-psychologist,FutureLearn,English,4 weeks,Beginner,4.5
aat-levels-2-and-3-certificate-in-bookkeeping,https://www.futurelearn.com/career-advice/become-a-social-media-manager,FutureLearn,English,4 weeks,Beginner,4.5
aat-levels-2-and-3-in-accounting,https://www.futurelearn.com/career-advice/become-a-stem-teacher,FutureLearn,English,4 weeks,Beginner,4.5
aat-levels-3-and-4-in-accounting,https://www.futurelearn.com/career-advice/become-a-ux-designer,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-basic-cooking-skills,https://www.futurelearn.com/career-advice/become-an-entrepreneur,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-c-and-net,https://www.futurelearn.com/career-advice/become-an-hr-manager,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-data-analytics,https://www.futurelearn.com/career-advice/become-an-seo-expert,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-data-handling-and-management-in-excel,https://www.futurelearn.com/career-advice/caring-careers-courses,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-docker,https://www.futurelearn.com/career-advice/get-creative-careers,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-film-genres,https://www.futurelearn.com/career-advice/get-into-filmmaking,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-giving-and-receiving-feedback,https://www.futurelearn.com/career-advice/grow-your-digital-skills,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-interior-design-principles-and-elements,https://www.futurelearn.com/career-advice/mental-health-workplace,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-java-programming,https://www.futurelearn.com/career-advice/soft-and-employability-skills,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-kubernetes-for-container-orchestration,https://www.futurelearn.com/career-advice/teach-english,FutureLearn,English,4 weeks,Beginner,4.5
a-beginners-guide-to-scrum-project-management,https://www.futurelearn.com/courses/-explore-the-fundamentals-of-managing-health-information-systems,FutureLearn,English,7 weeks,Introductory,4.5
a-beginners-guide-to-vcs-and-git,https://www.futurelearn.com/courses/-the-enemy-at-home-germanophobia-in-britain-during-the-first-world-war,FutureLearn,English,3 weeks,Beginner,4.5
a-beginners-guide-to-web-development-with-html5,https://www.futurelearn.com/courses/3-pillars-of-successful-marketing-segmentation-targeting-and-positioning,FutureLearn,English,3 weeks,Introductory,4.6
academic-freedom,https://www.futurelearn.com/courses/4-0-shades-of-digitalisation-for-the-chemical-and-process-industries,FutureLearn,English,4 weeks,Intermediate,4.5
academic-research-methodology,https://www.futurelearn.com/courses/5g-and-wireless-communication-for-beginners,FutureLearn,English,2 weeks,Introductory,4.5
academic-writing-for-healthcare-students-in-higher-education,https://www.futurelearn.com/courses/a-beginners-guide-to-basic-cooking-skills,FutureLearn,English,5 weeks,Beginner,4.5
academic-writing-for-learners-of-english,https://www.futurelearn.com/courses/a-beginners-guide-to-c-and-net,FutureLearn,English,2 weeks,Introductory,4.5
accents-attitudes-and-identity-an-introduction-to-sociolinguistics,https://www.futurelearn.com/courses/a-beginners-guide-to-data-analytics,FutureLearn,English,3 weeks,Introductory,4.5
accounting,https://www.futurelearn.com/courses/a-beginners-guide-to-data-handling-and-management-in-excel,FutureLearn,English,3 weeks,Introductory,4.7
accounting,https://www.futurelearn.com/courses/a-beginners-guide-to-docker,FutureLearn,English,2 weeks,Introductory,4.5
accounting,https://www.futurelearn.com/courses/a-beginners-guide-to-film-genres,FutureLearn,English,4 weeks,Introductory,4.6
accounting-101,https://www.futurelearn.com/courses/a-beginners-guide-to-giving-and-receiving-feedback,FutureLearn,English,4 weeks,Beginner,4.5
accounting-and-finance,https://www.futurelearn.com/courses/a-beginners-guide-to-interior-design-principles-and-elements,FutureLearn,English,4 weeks,Beginner,4.5
accounting-and-finance,https://www.futurelearn.com/courses/a-beginners-guide-to-java-programming,FutureLearn,English,3 weeks,Introductory,4.5
accounting-and-finance,https://www.futurelearn.com/courses/a-beginners-guide-to-kubernetes-for-container-orchestration,FutureLearn,English,3 weeks,Introductory,4.5
accounting-death-war,https://www.futurelearn.com/courses/a-beginners-guide-to-scrum-project-management,FutureLearn,English,2 weeks,Introductory,4.5
accounting-for-finance,https://www.futurelearn.com/courses/a-beginners-guide-to-vcs-and-git,FutureLearn,English,1 week,Introductory,4.5
achieving-sustainable-development,https://www.futurelearn.com/courses/a-beginners-guide-to-web-development-with-html5,FutureLearn,English,2 weeks,Introductory,4.4
achieving-zero-carbon-sustainable-urban-mobility,https://www.futurelearn.com/courses/a-critical-introduction-to-circular-economies-and-business-models,FutureLearn,English,4 weeks,Introductory,4.7
a-critical-introduction-to-circular-economies-and-business-models,https://www.futurelearn.com/courses/a-deeper-understanding-of-autism,FutureLearn,English,4 weeks,Beginner,4.2
active-listening-effective-communicator,https://www.futurelearn.com/courses/a-digital-edge-essentials-for-the-online-learner,FutureLearn,English,4 weeks,Open level,4.6
adaptation-and-standardisation-in-international-marketing,https://www.futurelearn.com/courses/a-global-history-of-sex-and-gender,FutureLearn,English,4 weeks,Open level,4.5
adaptation-and-standardisation-in-international-marketing-sc,https://www.futurelearn.com/courses/a-multidisciplinary-approach-to-paediatric-perioperative-medicine,FutureLearn,English,5 weeks,Intermediate,4.5
adaptation-to-the-water-scarcity,https://www.futurelearn.com/courses/a-panoramic-view-of-china,FutureLearn,English,7 weeks,Introductory,4.5
addiction-medicine,https://www.futurelearn.com/courses/a-reporters-toolkit-for-the-digital-and-social-media-age,FutureLearn,English,3 weeks,Introductory,3.6
additive-manufacturing,https://www.futurelearn.com/courses/a-reporters-toolkit-for-the-digital-and-social-media-age-sc,FutureLearn,English,3 weeks,Introductory,4.6
addressing-violence-patient-care,https://www.futurelearn.com/courses/a-survey-of-substance-use-disorder-sc,FutureLearn,English,4 weeks,Introductory,4.5
a-deeper-understanding-of-autism,https://www.futurelearn.com/courses/a-three-step-guide-to-equitable-makerspaces,FutureLearn,English,2 weeks,Introductory,4.5
a-digital-edge-essentials-for-the-online-learner,https://www.futurelearn.com/courses/academic-freedom,FutureLearn,English,5 weeks,Introductory,4.5
adult-teaching-essentials,https://www.futurelearn.com/courses/academic-research-methodology,FutureLearn,English,2 weeks,Introductory,4.5
advanced-ai-ethics-research,https://www.futurelearn.com/courses/academic-writing-for-healthcare-students-in-higher-education,FutureLearn,English,3 weeks,Introductory,4.5
advanced-ai-microsoft-azure,https://www.futurelearn.com/courses/academic-writing-for-learners-of-english,FutureLearn,English,3 weeks,Introductory,4.7
advanced-archaeological-remote-sensing,https://www.futurelearn.com/courses/accents-attitudes-and-identity-an-introduction-to-sociolinguistics,FutureLearn,English,2 weeks,Introductory,4.5
advanced-data-analysis-and-visualization-using-microsoft-excel,https://www.futurelearn.com/courses/accounting-101,FutureLearn,English,4 weeks,Introductory,4.6
advanced-data-analysis-and-visualization-using-microsoft-power-bi,https://www.futurelearn.com/courses/accounting-death-war,FutureLearn,English,4 weeks,Beginner,4.5
advanced-data-mining-with-weka,https://www.futurelearn.com/courses/achieving-sustainable-development,FutureLearn,English,4 weeks,Beginner,4.8
advanced-data-visualisation-and-analysis-in-excel,https://www.futurelearn.com/courses/achieving-zero-carbon-sustainable-urban-mobility,FutureLearn,English,3 weeks,Introductory,4.5
advanced-good-pharmacy-practice-part1,https://www.futurelearn.com/courses/active-listening-effective-communicator,FutureLearn,English,3 weeks,Introductory,4.5
advanced-good-pharmacy-practice-part2,https://www.futurelearn.com/courses/adaptation-and-standardisation-in-international-marketing,FutureLearn,English,2 weeks,Introductory,4.5
advanced-korean-conversations,https://www.futurelearn.com/courses/adaptation-and-standardisation-in-international-marketing-sc,FutureLearn,English,1 week,Introductory,4.5
advanced-precalculus,https://www.futurelearn.com/courses/adaptation-to-the-water-scarcity,FutureLearn,English,2 weeks,Introductory,4.4
advanced-research-techniques-in-parasitology,https://www.futurelearn.com/courses/addressing-violence-patient-care,FutureLearn,English,4 weeks,Introductory,4.7
advanced-skills-in-version-control-with-git-and-github,https://www.futurelearn.com/courses/advanced-archaeological-remote-sensing,FutureLearn,English,4 weeks,Advanced,4.2
advanced-sukuk-structures-mastering-islamic-finance,https://www.futurelearn.com/courses/advanced-data-analysis-and-visualization-using-microsoft-excel,FutureLearn,English,4 weeks,Open level,4.6
Advancing Black leadership,https://www.futurelearn.com/courses/advanced-data-analysis-and-visualization-using-microsoft-power-bi,FutureLearn,English,4 weeks,Open level,4.5
advancing-social-impact-with-digital-technologies,https://www.futurelearn.com/courses/advanced-data-mining-with-weka,FutureLearn,English,5 weeks,Intermediate,4.5
advertising,https://www.futurelearn.com/courses/advanced-data-visualisation-and-analysis-in-excel,FutureLearn,English,8 weeks,Open level,4.2
advertising,https://www.futurelearn.com/courses/advanced-good-pharmacy-practice-part1,FutureLearn,English,4 weeks,Advanced,4.5
affective-neuroscience-for-healthcare-practitioners-and-everyone,https://www.futurelearn.com/courses/advanced-good-pharmacy-practice-part2,FutureLearn,English,4 weeks,Introductory,4.5
african-cities,https://www.futurelearn.com/courses/advanced-korean-conversations,FutureLearn,English,4 weeks,Advanced,4.5
ageing,https://www.futurelearn.com/courses/advanced-precalculus,FutureLearn,English,3 weeks,Advanced,4.5
ageing-well-nutrition-and-exercise-for-older-adults,https://www.futurelearn.com/courses/advanced-research-techniques-in-parasitology,FutureLearn,English,3 weeks,Intermediate,4
agile-delivery-course,https://www.futurelearn.com/courses/advanced-skills-in-version-control-with-git-and-github,FutureLearn,English,2 weeks,Intermediate,4.6
agile-meets-design-thinking,https://www.futurelearn.com/courses/advanced-sukuk-structures-mastering-islamic-finance,FutureLearn,English,3 weeks,Introductory,4.5
agile-project-management-diploma,https://www.futurelearn.com/courses/advancing-social-impact-with-digital-technologies,FutureLearn,English,3 weeks,Intermediate,4.7
agile-project-management-et,https://www.futurelearn.com/courses/affective-neuroscience-for-healthcare-practitioners-and-everyone,FutureLearn,English,4 weeks,Introductory,4.7
agile-project-management-with-jira-for-beginners,https://www.futurelearn.com/courses/african-cities,FutureLearn,English,3 weeks,Open level,2.8
aging-populations,https://www.futurelearn.com/courses/ageing,FutureLearn,English,3 weeks,Open level,4.4
a-global-history-of-sex-and-gender,https://www.futurelearn.com/courses/ageing-well-nutrition-and-exercise-for-older-adults,FutureLearn,English,4 weeks,Open level,4.8
agriculture-and-nutrition,https://www.futurelearn.com/courses/agile-delivery-course,FutureLearn,English,4 weeks,Introductory,4.9
agriculture-economic-nature,https://www.futurelearn.com/courses/agile-meets-design-thinking,FutureLearn,English,1 week,Beginner,4.5
agriculture-smart-food-urban-farming,https://www.futurelearn.com/courses/agile-project-management-et,FutureLearn,English,2 weeks,Beginner,4.5
ai-and-big-data-global-health-improvement,https://www.futurelearn.com/courses/agile-project-management-with-jira-for-beginners,FutureLearn,English,2 weeks,Open level,4.5
ai-and-bioinformatics-genomic-data-analysis,https://www.futurelearn.com/courses/aging-populations,FutureLearn,English,4 weeks,Beginner,4.5
ai-and-ml-for-business,https://www.futurelearn.com/courses/agriculture-and-nutrition,FutureLearn,English,3 weeks,Introductory,4.8
ai-engineer-with-microsoft-azure,https://www.futurelearn.com/courses/agriculture-economic-nature,FutureLearn,English,6 weeks,Beginner,5
ai-ethics-law-and-policy,https://www.futurelearn.com/courses/agriculture-smart-food-urban-farming,FutureLearn,English,3 weeks,Beginner,4.5
ai-for-legal-professionals-i-,https://www.futurelearn.com/courses/ai-and-big-data-global-health-improvement,FutureLearn,English,4 weeks,Beginner,4.5
ai-for-legal-professionals-ii-,https://www.futurelearn.com/courses/ai-and-bioinformatics-genomic-data-analysis,FutureLearn,English,5 weeks,Beginner,4.6
airway-matters,https://www.futurelearn.com/courses/ai-and-ml-for-business,FutureLearn,English,3 weeks,Introductory,4.8
akichi-in-collections-management,https://www.futurelearn.com/courses/ai-ethics-law-and-policy,FutureLearn,English,3 weeks,Beginner,4.8
akichi-in-collections-management-j,https://www.futurelearn.com/courses/ai-for-legal-professionals-i-,FutureLearn,English,3 weeks,Advanced,4.5
a-multidisciplinary-approach-to-paediatric-perioperative-medicine,https://www.futurelearn.com/courses/ai-for-legal-professionals-ii-,FutureLearn,English,5 weeks,Advanced,4.5
An introduction to floodplain meadows,https://www.futurelearn.com/courses/airway-matters,FutureLearn,English,4 weeks,Advanced,4.8
An introduction to floodplain meadows,https://www.futurelearn.com/courses/akichi-in-collections-management,FutureLearn,English,6 weeks,Introductory,4.5
An introduction to music theory,https://www.futurelearn.com/courses/akichi-in-collections-management-j,FutureLearn,English,3 weeks,Introductory,4.5
analyze-and-visualize-data-with-pivot-tables,https://www.futurelearn.com/courses/an-anthropology-of-smartphones,FutureLearn,English,5 weeks,Advanced,4.5
analyze-and-visualize-data-with-pivot-tables-sc,https://www.futurelearn.com/courses/an-intro-to-cryptography,FutureLearn,English,6 weeks,Intermediate,4.5
an-anthropology-of-smartphones,https://www.futurelearn.com/courses/an-introduction-to-breast-feeding-for-medical-students,FutureLearn,English,3 weeks,Intermediate,4.5
anarchy-in-the-uk,https://www.futurelearn.com/courses/an-introduction-to-chinese-sign-language-and-linguistics,FutureLearn,English,4 weeks,Introductory,4.7
anatomy,https://www.futurelearn.com/courses/an-introduction-to-cognitive-psychology-as-an-experimental-science,FutureLearn,English,6 weeks,Introductory,4.6
anatomy-know-your-abdomen,https://www.futurelearn.com/courses/an-introduction-to-counselling,FutureLearn,English,2 weeks,Introductory,4.5
ancient-health,https://www.futurelearn.com/courses/an-introduction-to-electronic-engineering,FutureLearn,English,4 weeks,Beginner,4.3
Animal-Computer Interaction and dogs,https://www.futurelearn.com/courses/an-introduction-to-employment-law-for-hr-professionals-employers-and-managers,FutureLearn,English,4 weeks,Advanced,4.4
animal-feed-quality,https://www.futurelearn.com/courses/an-introduction-to-energy-harvesting-technology,FutureLearn,English,2 weeks,Beginner,4.5
animal-feed-safety,https://www.futurelearn.com/courses/an-introduction-to-food-science,FutureLearn,English,2 weeks,Introductory,4.5
